1	730536.9932	3631898.018	27.82	24.61
2	730539.5592	3631902.048	25.08	22.28
3	730541.9289	3631905.882	22.69	20.41
4	730544.4726	3631910.163	22.23	20.52
5	730546.6977	3631915.757	23.08	21.7
6	730546.9951	3631922.382	22.69	21
7	730545.6322	3631929.228	22.94	21.53
8	730543.1662	3631936.273	21.31	19.75
9	730540.5837	3631943.615	28.51	25.62
10	730538.3976	3631951.411	33.58	30.9
11	730536.7186	3631959.412	28.54	25.59
12	730534.6939	3631967.643	42.92	39.27
13	730532.3347	3631975.957	46.62	43.22
14	730530.2004	3631984.417	44.11	41.15
15	730528.0622	3631992.905	40.34	37.31
16	730526.1611	3632001.39	38.72	34.95
17	730524.128	3632009.959	33.55	31.08
18	730522.0941	3632018.31	24.75	22.41
19	730520.071	3632027.137	30.18	29.25
20	730517.8704	3632036.334	32.33	30.83
21	730515.5152	3632045.735	31.46	29.99
22	730512.8551	3632055.215	26.71	25.18
23	730510.3443	3632064.869	27.56	25.88
24	730507.8464	3632074.46	27.93	25.04
25	730504.7761	3632083.913	30.56	28.6
26	730501.6616	3632093.396	31.61	28.93
27	730498.8576	3632103.04	32.61	29.37
28	730495.8451	3632112.539	32.09	28.4
29	730493.0567	3632122.297	32.52	29.27
30	730490.2478	3632132.013	40.03	35.34
31	730487.5417	3632141.404	49.41	42.88
32	730485.3084	3632150.654	42.86	38.35
33	730483.1533	3632159.772	34.49	31.48
34	730480.609	3632168.773	37.42	33.89
35	730478.283	3632177.788	39.63	35.81
36	730476.0634	3632186.798	39.65	36.25
37	730474.4532	3632195.76	36.45	33.81
38	730475.3399	3632204.533	39.35	36.26
39	730477.7484	3632213.138	40.17	37.3
40	730478.229	3632221.182	40.18	36.67
41	730474.3705	3632226.858	37.54	34.21
42	730468.2264	3632227.667	38.67	35.32
43	730463.1734	3632224.303	37.23	33.48
44	730460.9449	3632217.118	46.17	41.83
45	730460.8189	3632208.694	41.67	38.15
46	730460.8697	3632199.972	35.09	32
47	730460.8454	3632191.34	35.51	32.24
48	730460.868	3632182.594	37.26	33.76
49	730460.6843	3632174.199	37.05	33.14
50	730460.4424	3632166.52	33.24	30.64
51	730460.7371	3632160.436	36.22	32.81
52	730463.6924	3632157.277	40.93	36.18
53	730468.3069	3632157.944	38	33.37
54	730472.0661	3632163.884	36.74	33.4
55	730474.1425	3632172.417	36.78	32.82
56	730475.7581	3632181.741	40.3	36.94
57	730477.8023	3632191.289	39.59	36.99
58	730479.5491	3632200.656	38.02	34.04
59	730480.7292	3632210.024	39.9	35.54
60	730481.7058	3632219.057	39.24	35.51
61	730483.2164	3632226.873	37.09	33.24
62	730487.8057	3632231.934	40.54	36.27
63	730494.8513	3632232.696	41.52	37.75
64	730499.4134	3632230.055	42.61	38.74
65	730500.2573	3632223.865	41.57	38.32
66	730499.2226	3632216.531	40.64	37.61
67	730498.1402	3632208.816	39.86	35.82
68	730497.0346	3632200.868	40.93	36.77
69	730495.9483	3632192.709	40.77	37.21
70	730495.1991	3632184.416	41.73	37.67
71	730494.4621	3632176.05	40.65	37.03
72	730493.6257	3632167.624	40.99	37.64
73	730492.6178	3632159.255	38.27	35.05
74	730491.6103	3632150.84	40.42	37.59
75	730490.5718	3632142.494	46.52	42.01
76	730489.6363	3632134.182	48.11	41.65
77	730488.5721	3632125.853	35.66	32.45
78	730487.8715	3632117.58	34.32	30.28
79	730487.0055	3632109.372	36.45	32.86
80	730486.151	3632101.165	36.38	32.7
81	730485.2532	3632092.978	31.14	28.64
82	730484.4033	3632084.789	29.55	26.7
83	730483.4959	3632076.603	28.6	26.79
84	730482.4888	3632068.517	26.64	24.62
85	730481.3483	3632060.507	26.15	24.72
86	730480.2103	3632052.506	27.69	26.58
87	730479.4204	3632044.522	29.4	26.96
88	730478.5785	3632036.564	33.98	31.98
89	730477.6302	3632028.628	40.49	36.78
90	730476.7007	3632020.754	42.66	38.19
91	730475.8631	3632012.788	43.13	38.51
92	730475.0161	3632004.825	40.82	36.71
93	730474.121	3631996.817	32.42	29.28
94	730473.2845	3631988.837	25.93	23.8
95	730472.4669	3631980.778	30.74	27.29
96	730471.6517	3631972.799	36.13	31.99
97	730470.7016	3631964.819	32.52	28.39
98	730469.6728	3631956.861	33.39	30.14
