730499.1415	3632063.894	23.82	21.77
730499.8898	3632071.868	27.71	25.17
730500.7305	3632079.706	28.02	25.26
730501.668	3632087.569	28.64	25.46
730502.6706	3632095.481	30.63	27.96
730503.8215	3632103.331	31.52	28.01
730504.9759	3632111.17	30.43	27.8
730505.9312	3632118.758	29.14	25.59
730506.9441	3632126.263	37.48	32.51
730507.7545	3632133.749	53.47	45.4
730508.5745	3632141.297	45.36	40.09
730509.4575	3632148.95	41.88	37.6
730510.3437	3632156.643	43.51	39.57
730511.1961	3632164.316	42.76	38.55
730512.053	3632171.93	41.53	37.05
730512.8958	3632179.59	40.49	36.81
730513.8002	3632187.446	40.44	36.52
730514.7809	3632195.25	39.03	35.23
730515.6419	3632203.157	41.46	37.7
730516.6189	3632211.043	35.71	31.99
730517.219	3632218.564	38.67	34.56
730517.794	3632225.123	41.85	37.28
730519.5614	3632230.407	43.61	39.51
730524.7401	3632233.426	48.06	45.15
730531.0468	3632232.801	46.42	42.38
730534.6234	3632228.6	40.73	35.82
730534.7486	3632221.723	39.93	35.21
730533.835	3632214.224	40.39	36.6
730533.1488	3632206.569	39.7	36.09
730532.4917	3632198.826	38.97	35.72
730531.6864	3632191.022	41.02	36.98
730530.7501	3632183.182	40.32	35.96
730529.9019	3632175.262	42.41	38.79
730528.9911	3632167.363	47.96	43.83
730528.1182	3632159.329	47.78	44.63
730527.102	3632151.254	38.9	36
730526.1175	3632143.133	42.99	40.62
730525.1209	3632134.944	47.41	42.93
730524.2465	3632126.715	59.75	51.84
730523.1062	3632118.412	53.78	46.69
730521.8618	3632110.069	29.53	26.57
730520.9063	3632101.725	27.01	24.72
730520.0404	3632093.372	26	23.65
730519.1513	3632085.031	26.76	24.57
730518.1669	3632076.646	27.27	25.42
730517.1873	3632068.218	31.05	29.82
730516.2457	3632059.809	30.9	29.21
730515.3426	3632051.406	27.92	26.62
730514.3114	3632043.015	29.79	27.73
730513.3428	3632034.626	29.44	27.43
730512.4407	3632026.206	26.85	25.22
730511.4352	3632017.789	24.59	22.19
730510.5059	3632009.376	37.84	34.52
730509.5596	3632000.931	40.11	36.2
730508.6418	3631992.532	43.08	38.98
730507.778	3631984.154	42.79	38.55
730506.8043	3631975.734	33.32	30.59
730505.8511	3631967.295	28.35	26.02
730504.8527	3631958.854	33.7	30.52
730503.844	3631950.484	31.53	28.56
730503.0387	3631942.085	29.04	26.27
730502.0794	3631933.663	27.61	25.52
730501.0566	3631925.276	25.44	22.9
730500.0672	3631916.878	26.11	23.37
730499.1048	3631908.462	23.02	20.79
730498.2217	3631900.073	24.67	22.37
730497.2927	3631891.685	29.35	26.31
730496.3339	3631883.313	30.05	26.06
730495.3923	3631874.968	51.87	44.56
730494.401	3631866.59	63.42	53.45
730493.511	3631858.337	60.18	49.56
730492.6066	3631850.5	62.4	51.53
730491.5975	3631843.456	62.08	51.54
730491.7558	3631838.32	61.77	51.09
730495.6114	3631835.031	65.17	54.33
730502.3135	3631834.73	69.79	59.4
730507.4632	3631836.685	64.45	54.47
730510.0479	3631842.409	45.73	40.73
730510.8655	3631849.621	31.28	28.7
730511.5285	3631857.139	27.46	25.62
730512.2868	3631864.822	23.37	21.63
730513.3524	3631872.554	20.23	18.04
730514.3425	3631880.45	22.77	20.84
730515.2515	3631888.372	26.3	23.16
730516.1728	3631896.361	28.58	25.28
730517.0762	3631904.425	25.48	22.8
730518.0076	3631912.383	23.38	21.34
730518.9178	3631920.298	25.11	24
730519.81	3631928.156	24.64	23.36
730520.8003	3631936.117	25.21	23.4
730521.6247	3631944.1	29.1	26.56
730522.5975	3631952.081	31.52	29.12
730523.3477	3631959.896	32.1	28.67
730524.2298	3631967.696	25.6	22.34
730525.0586	3631975.551	35.89	31.86
730525.8809	3631983.424	42.89	37.74
730526.8712	3631991.461	38.94	35.23
730527.8981	3631999.583	39.63	35.68
730528.804	3632007.615	42.55	39.68
730529.6184	3632015.698	33.45	32.87
730530.5761	3632023.826	34.18	32.48
730531.6531	3632031.9	35.1	33.54
730532.5256	3632040.006	33.37	31.45
730533.3326	3632048.045	29.8	28.27
730534.2123	3632056.068	28.27	26.21
730535.1203	3632064.062	27.77	25.93
730535.9819	3632072.159	24.15	22.25
730536.8894	3632080.241	25.85	23.64
730537.7751	3632088.229	26.15	23.87
730538.6032	3632096.237	27.19	24.46
730539.3158	3632104.228	27.83	25.32
730540.4017	3632112.215	31.54	28.99
730541.4802	3632120.203	54.26	46.92
730542.492	3632128.134	58.52	49.53
730543.4076	3632136.164	48.23	43.07
730544.1689	3632144.01	34.22	31.17
730545.0967	3632151.907	33.84	30.47
730545.9439	3632159.846	38.11	34.74
730546.933	3632167.86	45.68	40.84
730547.7957	3632175.921	39.5	35.84
730548.7896	3632183.932	38.06	34.36
730549.579	3632191.964	39.15	35.16
730550.3501	3632199.866	36.78	33.26
